Holder,type,shank,min-bore,Front-angle,Back-angle,insert,extra,
,,,,,,,Multi-lock,
MWLN-R,face-turn,0.75,,85,5,WNM_-33_,80,
MWLN-L,face-turn,0.75,,95,175,WNM_-33_,80,
,,,,,,,,
MDGN-R,turning,0.75,,90,35,DNM_-43_,55,
MDGN-L,turning,0.75,,90,145,DNM_-43_,55,
MDJN-R,face-turn,0.75,,87,32,DNM_-43_,55,
MDPNN,profiling,0.75,,117.5,62.5,DNM_-43_,55,
MDQN-R,face-turn,0.75,,72.5,17.5,DNM_-43_,55,
MDQN-L,face-turn,0.75,,117.5,172.5,DNM_-43_,55,
,,,,,,,,
MTAN-R,turning,0.75,,90,30,TNM_-33_,60,
MTAN-L,turning,0.75,,90,150,TNM_-33_,60,
MTCNN,facing,0.75,,0,60,TNM_-33_,60,
MTENN,profiling,0.75,,120,60,TNM_-33_,60,
MTFN-R,facing,0.75,,0,60,TNM_-33_,60,
MTFN-L,facing,0.75,,0,60,TNM_-33_,60,
MTGN-R,turning,0.75,,90,30,TNM_-33_,60,
MTGN-L,turning,0.75,,90,150,TNM_-33_,60,
MTJN-R,face-turn,0.75,,87,27,TNM_-33_,60,
MTJN-L,face-turn,0.75,,93,153,TNM_-33_,60,
MTLN-R,face-turn,0.75,,85,25,TNM_-33_,60,
MTLN-L,face-turn,0.75,,95,155,TNM_-33_,60,
MTRN-R,turning,0.75,,105,45,TNM_-33_,60,
MTRN-L,turning,0.75,,75,135,TNM_-33_,60,
MTWN-R,turning,0.75,,100,40,TNM_-33_,60,
MTWN-L,turning,0.75,,80,140,TNM_-33_,60,
,,,,,,,,
MVGN-R,turning,0.75,,90,55,VNM_-33_,35,
MVGN-L,turning,0.75,,90,125,VNM_-33_,35,
MVJN-R,face-turn,0.75,,87,52,VNM_-33_,35,
MVJN-L,face-turn,0.75,,93,128,VNM_-33_,35,
MVTN-R,face-turn,0.75,,62.5,27.5,VNM_-33_,35,
MVTN-L,face-turn,0.75,,117.5,152.5,VNM_-33_,35,
MVVNN,profiling,0.75,,107.5,72.5,VNM_-33_,35,
,,,,,,,,
MCFN-R,facing,0.75,,80,0,CNM_-43_,80,
MCFN-L,facing,0.75,,100,180,CNM_-43_,80,
MCGN-R,turning,0.75,,90,10,CNM_-43_,80,
MCGN-L,turning,0.75,,90,170,CNM_-43_,80,
MCKN-R,facing,0.75,,65,165,CNM_-43_,100,
MCKN-L,facing,0.75,,15,115,CNM_-43_,100,
MCLN-R,face-turn,0.75,,85,5,CNM_-43_,80,
MCLN-L,face-turn,0.75,,95,175,CNM_-43_,80,
MCMNN,profiling,0.75,,130,50,CNM_-43_,80,
MCRN-R,turning,0.75,,115,15,CNM_-43_,100,
MCRN-L,turning,0.75,,165,65,CNM_-43_,100,
MCYNN,profiling,0.75,,140,40,CNM_-43_,100,
MSDNN,profiling,0.75,,135,45,SNM_-33_,90,
MSKN-R,facing,0.75,,75,165,SNM_-33_,90,
MSKN-L,facing,0.75,,15,105,SNM_-33_,90,
MSSN-R,profiling,0.75,,135,45,SNM_-33_,90,
MSSN-L,profiling,0.75,,135,45,SNM_-33_,90,
MSRN-R,turning,0.75,,105,15,SNM_-33_,90,
MSRN-L,turning,0.75,,75,165,SNM_-33_,90,
,,,,,,,Screw-lock,
SCGC-R,turning,0.75,,90,10,CCT_-32.52,80,
SCGC-L,turning,0.75,,90,170,CCT_-32.52,80,
SCLC-R,face-turn,0.75,,85,5,CCT_-32.52,80,
SCLC-L,face-turn,0.75,,95,175,CCT_-32.52,80,
SCMCN,profiling,0.75,,130,50,CCT_-32.52,80,
SCRC-R,turning,0.75,,105,5,CCT_-32.52,100,
SCRC-L,turning,0.75,,75,175,CCT_-32.52,100,
SCYCN,profiling,0.75,,140,40,CCT_-32.52,100,
,,,,,,,,
SCGP-R,turning,0.75,,90,10,CP_T_-32.52,80,
SCGP-L,turning,0.75,,90,170,CP_T_-32.52,80,
SCLP-R,face-turn,0.75,,85,5,CP_T_-32.52,80,
SCLP-L,face-turn,0.75,,95,175,CP_T_-32.52,80,
SCMPN,profiling,0.75,,130,50,CP_T_-32.52,80,
,,,,,,,,
SDJC-R,face-turn,0.75,,87,32,DC_T_-32.52,55,
SDJC-L,face-turn,0.75,,93,148,DC_T_-32.52,55,
SDPCN,profiling,0.75,,117.5,62.5,DC_T_-32.52,55,
,,,,,,,,
SSDCN,profiling,0.75,,135,45,SC_T-32.52,90,
SSRC-R,turning,0.75,,105,15,SC_T-32.52,90,
,,,,,,,,
STAC-R,turning,0.75,,90,30,TC_T-32.52,60,
STAC-L,turning,0.75,,90,150,TC_T-32.52,60,
STCC-R,facing,0.75,,60,0,TC_T-32.52,60,
STCC-L,facing,0.75,,120,0,TC_T-32.52,120,
STDC-R,turning,0.75,,135,75,TC_T-32.52,60,
STDC-L,turning,0.75,,45,105,TC_T-32.52,60,
STECN,profiling,0.75,,120,60,TC_T-32.52,60,
STFC-R,facing,0.75,,120,0,TC_T-32.52,120,
STFC-L,facing,0.75,,60,0,TC_T-32.52,60,
STGC-R,turning,0.75,,90,30,TC_T-32.52,60,
STGC-L,turning,0.75,,90,150,TC_T-32.52,60,
STJC-R,face-turn,0.75,,87,27,TC_T-32.52,60,
STJC-L,face-turn,0.75,,93,153,TC_T-32.52,60,
STNC-R,face-turn,0.75,,87,27,TC_T-32.52,60,
STNC-L,face-turn,0.75,,93,153,TC_T-32.52,60,
STFP-R,facing,0.75,,60,0,TC_T-32.52,60,
STFP-L,facing,0.75,,120,0,TC_T-32.52,120,
STGP-R,turning,0.75,,90,30,TC_T-32.52,60,
STGP-L,turning,0.75,,90,150,TC_T-32.52,60,
,,,,,,,,
SVJB-R,turning,0.75,,90,55,VB_T-33_,35,
SVJB-L,turning,0.75,,90,125,VB_T-33_,35,
SVVBN,profiling,0.75,,107.5,72.5,VB_T-33_,35,
SVJC-R,face-turn,0.75,,87,52,VB_T-33_,35,
SVJC-L,face-turn,0.75,,93,128,VB_T-33_,35,
SVVCN,profiling,0.75,,107.5,72.5,VB_T-33_,35,
SVTC-R,face-turn,0.75,,62.5,27.5,VB_T-33_,35,
SVTC-L,face-turn,0.75,,117.5,152.5,VB_T-33_,35,
SVJP-R,face-turn,0.75,,87,52,VB_T-33_,35,
SVJP-L,face-turn,0.75,,93,128,VB_T-33_,35,
SVLP-R,facing,0.75,,40,5,VB_T-33_,35,
SVLP-L,facing,0.75,,175,140,VB_T-33_,35,
,,,,,,,,
SWLC-R,face-turn,0.75,,85,5,WC_T-33_,80,
SWLC-L,face-turn,0.75,,95,175,WC_T-33_,80,
,,,,,,,,boring 
S-MCLN-R,boring,0.75,1,85,5,CNM_-33_,80,
S-MCLN-L,boring,0.75,1,85,5,CNM_-33_,80,
S-MTFN-R,boring,0.75,1,90,150,TNM_-33_,60,
S-MTFN-L,boring,0.75,1,90,150,TNM_-33_,60,
S-MTUN-R,boring,0.75,1,93,153,TNM_-33_,60,
S-MTUN-L,boring,0.75,1,93,153,TNM_-33_,60,
S-MWLN-R,boring,0.75,1,95,15,WNM_-33_,80,
S-MWLN-L,boring,0.75,1,95,15,WNM_-33_,80,
,,,,,,,,
S-SVQB-R,boring,0.625,0.85,107.5,72.5,VB_T-22_,35,
S-SVQB-L,boring,0.625,0.85,107.5,72.5,VB_T-22_,35,
S-SVQB-R,boring,0.75,0.98,107.5,72.5,VB_T-33_,35,
S-SVQB-L,boring,0.75,0.98,107.5,72.5,VB_T-33_,35,
,,,,,,,,
S-SCFC-R,boring,0.375,0.48,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.375,0.48,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.5,0.6,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.5,0.6,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.625,0.77,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.625,0.77,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.75,0.93,90,170,CC_T-32.52,80,
S-SCFC-L,boring,0.75,0.93,90,170,CC_T-32.52,80,
,,,,,,,,
S-SCLC-R,boring,0.375,0.477,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.375,0.477,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.5,0.602,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.5,0.602,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.625,,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.625,0.954,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.75,0.954,95,175,CC_T-32.52,80,
S-SCLC-L,boring,0.75,0.954,95,175,CC_T-32.52,80,
,,,,,,,,
S-SDUC-R,boring,0.375,0.625,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.375,0.625,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.5,0.78,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.5,0.78,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.625,0.84,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.625,0.84,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.75,1.125,93,148,DC_T-32.52,55,
S-SDUC-L,boring,0.75,1.125,93,148,DC_T-32.52,55,
,,,,,,,,
S-SDQC-R,boring,0.5,0.73,107.5,162.5,DC_T-21.51,55,
S-SDQC-L,boring,0.5,0.73,107.5,162.5,DC_T-21.51,55,
S-SDQC-R,boring,0.625,0.85,107.5,162.5,DC_T-21.51,55,
S-SDQC-L,boring,0.625,0.85,107.5,162.5,DC_T-21.51,55,
S-SDQC-R,boring,0.75,0.98,107.5,162.5,DC_T-32.52,55,
S-SDQC-L,boring,0.75,0.98,107.5,162.5,DC_T-32.52,55,
,,,,,,,,
S-SDXC-R,boring,0.5,0.73,85,30,DC_T-21.51,55,
S-SDXC-L,boring,0.5,0.73,85,30,DC_T-21.51,55,
S-SDXC-R,boring,0.625,0.85,85,30,DC_T-21.51,55,
S-SDXC-L,boring,0.625,0.85,85,30,DC_T-21.51,55,
S-SDXC-R,boring,0.75,0.98,85,30,DC_T-32.52,55,
S-SDXC-L,boring,0.75,0.98,85,30,DC_T-32.52,55,
,,,,,,,,
S10R-SSKC-R,boring,0.625,0.8,75,165,SC_T-32.52,90,
S10R-SSKC-L,boring,0.625,0.8,75,165,SC_T-32.52,90,
S12S-SSKC-R,boring,0.75,0.975,75,165,SC_T-32.52,90,
S12S-SSKC-L,boring,0.75,0.975,75,165,SC_T-32.52,90,
,,,,,,,,
S06M-STFC-R,boring,0.375,0.5,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.375,0.5,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.5,0.625,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.5,0.625,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.625,0.812,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.625,0.812,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.75,1,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.75,1,90,30,TC_T-21.51,60,
